sample;ploidy;run1;run2;run3;run4;run5
n_TNB6_143;2;-8045.425;-8042.315;-8093.694;-8083.204;-8129.021
n_TNB6_143;3;-8065.864;-8079.454;-8108.557;-8109.072;-8169.09
n_TNB6_143;4;-8051.612;-8086.259;-8126.822;-8152.8;-8216.663
n_UMJ1_047;2;-8094.545;-8117.969;-8058.869;-8057.957;-8093.119
n_UMJ1_047;3;-8058.509;-8063.347;-8071.856;-8150.57;-8080.668
n_UMJ1_047;4;-8076.721;-8283.099;-8193.125;-8073.986;-999999.99
n_UMJ3_048;3;-8082.273;-8092.776;-8233.865;-8075.029;-8106.395
n_UMJ3_048;4;-8306.583;-8166.862;-8087.639;-8109.452;-8218.966
n_UMJ4_049;2;-8195.686;-8168.001;-8190.585;-8175.544;-8180.769
n_UMJ4_049;3;-8264.165;-8436.289;-8170.518;-8518.345;-8383.741
n_UMJ4_049;4;-8271.372;-8193.045;-8198.998;-8205.014;-8278.654
n_VBS_153;2;-8105.215;-8176.73;-8106.278;-8129.357;-8185.248
n_VBS_153;4;-8141.504;Error:Couldnotfindfile"output/stepping_stone_n_VBS_153_4.out";-999999.99;-8162.117;-999999.99
n_VBS2_005;2;-8201.876;-8317.343;-8074.7;-8131.986;-999999.99
n_VBS2_005;4;-8070.306;-999999.99;-999999.99;-8099.119;-8089.451
n_VBS8_006;2;-8142.668;-8095.315;-8084.239;-8077.746;-8110.021
n_VBS8_006;3;-8089.193;-8113.044;-8105.087;-8149.353;-8077.577
n_VBS8_006;4;-8251.183;-8114.431;-8164.687;-8068.92;-8088.14
n_VJJS2_011;3;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99
n_VJJS2_011;4;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99
n_VJJS5_125;2;-8106.571;-8021.449;-8020.804;-8156.966;-8204.183
n_VJJS5_125;3;-8062.418;-8113.526;-8232.514;Error:Couldnotfindfile"output/stepping_stone_n_VJJS5_125_3.out";-999999.99
n_VJJS5_125;4;-8027.938;-999999.99;-8043.883;-8022.894;-8092.106
n_VJZS2_079;2;-8126.97;-8221.145;-999999.99;-999999.99;-999999.99
n_VJZS5_148;3;-8107.851;-8115.599;-8204.977;-8136.414;-8189.538
n_VJZS5_148;4;-8069.506;-8051.325;-8094.117;-8050.548;-8122.755
n_VJZS8_080;2;-8034.87;-8183.857;-8045.025;-8083.522;-8207.683
