sample;ploidy;run1;run2;run3;run4;run5;average;recommended_ploidy;bayes_factor_between_1stand2nd;evidence
n_PLD5_146;3;Error:Couldnotfindfile"output/stepping_stone_n_PLD5_146_3.out";-999999.99;-8187.868;-999999.99;-8136.069;-8187.868;3;18.235;Positive
n_PLD5_146;4;-8119.14;-8293.067;-999999.99;-999999.99;-999999.99;-8206.103;3;18.235;Positive
n_PPSK2_176;3;-8122.876;-8129.862;-8290.596;-8128.013;-8345.8;-8181.111;3;2.290;Not_worth_more_than_a_bare_mention
n_PPSK2_176;4;-8230.025;-8213.689;-8106.489;-8114.799;-8124.839;-8183.401;3;2.290;Not_worth_more_than_a_bare_mention
n_PPSK4_177;1;-8152.464;-8139.652;-999999.99;-999999.99;-999999.99;-8146.058;4;23.919;Strong
n_PPSK4_177;4;-8040.388;-8167.098;-8158.932;-8120.958;-8049.486;-8122.139;4;23.919;Strong
n_PPSK7_178;3;-8155.8;-8212.925;-8140.842;-8135.192;-8123.538;-8169.856;4;4083.975;Very_strong
n_PPSK7_178;4;-8171.762;0;-999999.99;-999999.99;-8093.69;-4085.881;4;4083.975;Very_strong
n_PRGA1_029;3;-8153.652;-8130.811;-8147.715;-8201.033;-8239.608;-8144.059;3;115.019;Strong
n_PRGA1_029;4;-8291.846;-8253.832;-8231.557;-8137.519;-8180.819;-8259.078;3;115.019;Strong
n_PRGA5_031;2;-8171.206;Error:Couldnotfindfile"output/stepping_stone_n_PRGA5_031_2.out";-999999.99;-999999.99;-8192.08;-8171.206;2;93.945;Strong
n_PRGA5_031;3;-8402.27;-8262.132;-8248.085;-8155.696;-8183.817;-8304.162;2;93.945;Strong
n_PRGA5_031;4;-8191.283;-8253.661;-8350.51;-8225.018;-8174.101;-8265.151;2;93.945;Strong
n_PRS2_083;2;-8034.375;-8182.253;-8131.365;-8031.146;-8062.154;-8115.998;4;4034.423;Very_strong
n_PRS2_083;3;-8058.189;-999999.99;-999999.99;-999999.99;-8052.418;-8058.189;4;4034.423;Very_strong
n_PRS2_083;4;0;-8047.532;-999999.99;-999999.99;-8095.422;-4023.766;4;4034.423;Very_strong
