sample;ploidy;run1;run2;run3;run4;run5;average;recommended_ploidy;bayes_factor_between_1stand2nd;evidence
n_DPK5_133;4;-8161.493;-8329.973;-8195.887;-8457.199;-8209.141;-8229.118;3;19.390;Positive
n_DSO1_113;2;-8133.87;-8156.729;-8116.663;-8128.723;-8118.463;-8135.754;2;23.879;Strong
n_DSO1_113;3;-8263.815;-8137.71;-8191.154;-8139.759;-8163.922;-8197.560;2;23.879;Strong
n_DSO1_113;4;-8112.591;-8205.035;-8161.273;-8169.042;-8202.997;-8159.633;2;23.879;Strong
n_FRS2_087;3;-8263.249;-8175.602;-8062.552;-8232.319;-8381.2;-8167.134;4;16.905;Positive
n_FRS2_087;4;-8079.33;-8149.721;-8221.638;-8067.82;-8088.042;-8150.230;4;16.905;Positive
n_FRS5_161;3;-8181.177;-8093.758;-8103.42;-8274.393;-8315.265;-8126.118;3;45.765;Strong
n_FRS5_161;4;-8107.343;-8212.416;-8195.892;-8095.949;-8167.335;-8171.884;3;45.765;Strong
n_FRS8_088;2;-8178.012;-8091.617;-8132.567;-8082.719;-8040.093;-8134.065;4;31.421;Strong
n_FRS8_088;3;-8045.827;-8061.104;-8113.351;-8220.262;-8138.477;-8073.427;4;31.421;Strong
n_FRS8_088;4;-8036.73;-8039.953;-8049.336;-8038.327;-8056.935;-8042.006;4;31.421;Strong
n_HPSK1_174;4;-8168.817;-8378.527;-8143.639;-8192.533;-8120.047;-8230.328;4;NA;Cannot_compare
n_HPSK2_175;3;-8430.473;-8297.318;-8120.506;-8227.913;-8215.242;-8282.766;4;71.837;Strong
n_HPSK2_175;4;-8259.228;-8121.586;-8251.972;-8121.862;-8128.863;-8210.929;4;71.837;Strong
n_JIZ2_018;3;-8106.578;-8055.72;-8085.776;-8075.359;-8115.569;-8082.691;3;1.079;Not_worth_more_than_a_bare_mention
n_JIZ2_018;4;-8059.119;-8128.759;-8063.434;-8056.916;-8100.526;-8083.771;3;1.079;Not_worth_more_than_a_bare_mention
n_JIZ5_160;2;-8264.782;-8045.387;-8092.819;-8075.555;-8028.365;-8134.329;4;1.169;Not_worth_more_than_a_bare_mention
n_JIZ5_160;3;-8050.974;-8364.063;-8233.75;-8150.592;-8058.555;-8216.262;4;1.169;Not_worth_more_than_a_bare_mention
n_JIZ5_160;4;-8222.512;-8100.778;-8076.19;-8127.249;-8051.805;-8133.160;4;1.169;Not_worth_more_than_a_bare_mention
n_JIZ7_019;3;-8196.595;-8179.909;-8211.725;-8184.438;-8188.236;-8196.076;3;55.351;Strong
n_JIZ7_019;4;-8246.64;-8332.408;-8175.234;-8184.334;-8174.589;-8251.427;3;55.351;Strong
n_KKS2_103;2;-8097.087;-8095.277;-8207.038;-8159.35;-8078.697;-8133.134;4;6.153;Positive
