sample;ploidy;run1;run2;run3;run4;run5
n_LZS4_152;2;-8091.461;-8079.091;-8048.609;-8106.8;-8049.06
n_LZS4_152;3;-8095.584;-8152.893;-8046.174;-8042.4;-8044.339
n_LZS4_152;4;-8057.345;-8104.687;-8095.877;-8082.733;-8076.082
n_LZS8_117;2;-8103.978;-8047.12;-8255.569;-8035.942;-8075.601
n_LZS8_117;3;-8062.449;-8102.632;-8051.169;-8038.913;-8128.343
n_LZS8_117;4;-8061.014;-8113.007;-8050.484;-8219.535;-8094.165
n_MDS2_003;2;-8040.477;-8097.421;-8066.849;-8099.015;-8068.55
n_MDS2_003;3;-8051.44;-8140.176;-8162.569;-8055.163;-8075.69
n_MDS2_003;4;-8051.975;-8132.962;-8230.369;-8057.529;-8076.559
n_MDS5_156;2;-8104.532;-8107.904;-8145.043;-8112.017;-8129.764
n_MDS5_156;3;-8171.564;-8333.155;-8217.586;-8280.388;-8121.432
n_MDS5_156;4;-8187.099;-8196.578;-8097.351;-8105.486;-8098.827
n_MDS8_004;2;-8079.098;-8055.439;-8048.961;-8075.689;-8078.037
n_MDS8_004;3;-8145.739;-8058.256;-8093.975;-8053.693;-8303.704
n_MDS8_004;4;-8162.342;-8047.835;-8188.904;-8050.371;-8048.306
