sample;ploidy;run1;run2;run3;run4;run5
n_DPK1_037;4;-8136.826;-8208.385;-8285.878;-8293.933;-8219.619
n_DPK5_133;3;-8224.413;-8245.16;-8159.611;-8163.866;-8221.514
n_DPK5_133;4;-8161.493;-8329.973;-8195.887;-8457.199;-8209.141
n_DSO1_113;2;-8133.87;-8156.729;-8116.663;-8128.723;-8118.463
n_DSO1_113;3;-8263.815;-8137.71;-8191.154;-8139.759;-8163.922
n_DSO1_113;4;-8112.591;-8205.035;-8161.273;-8169.042;-8202.997
n_FRS2_087;3;-8263.249;-8175.602;-8062.552;-8232.319;-8381.2
n_FRS2_087;4;-8079.33;-8149.721;-8221.638;-8067.82;-8088.042
n_FRS5_161;3;-8181.177;-8093.758;-8103.42;-8274.393;-8315.265
n_FRS5_161;4;-8107.343;-8212.416;-8195.892;-8095.949;-8167.335
n_FRS8_088;2;-8178.012;-8091.617;-8132.567;-8082.719;-8040.093
n_FRS8_088;3;-8045.827;-8061.104;-8113.351;-8220.262;-8138.477
n_FRS8_088;4;-8036.73;-8039.953;-8049.336;-8038.327;-8056.935
n_PPSK4_177;1;-8280.464;-8206.811;-8133.565;-8155.546;-8130.763
n_PPSK4_177;2;-8172.307;-8134.447;-8114.684;-8035.674;-8036.585
n_PPSK4_177;3;-8084.27;-8030.87;-8030.815;-8065.912;-8079.543
n_PPSK4_177;4;-8047.545;-8042.07;-8085.612;-8122.194;-8041.351
